Telefónica;INSTITUTO DE PRACTICA EMPRESARIAL;"C/ MEDINA SIDONIA 2;BAJO";CHURRIANA;MALAGA;29140;Educational Institute
Telefónica;KENTUCKY FRIED CHICKEN (BENIDORM);C/ GERONA, 28 (CENTRO COMERCIAL);BENIDORM;ALICANTE;03500;Restaurant
Telefónica;NOSTRUM MOLLET;AV JAUME I, 28, MOLLET DEL VALLèS;MOLLET DEL VALLES;BARCELONA;08100;Club
Telefónica;CLUB DE GOLF LLAVANERES;CAMí DEL GOLF, S/N;SANT ANDREU DE LLAVANERES;BARCELONA;08392;Club
Telefónica;HOTEL BARCELO LANZAROTE****;AVDA.DEL MAR S/N  COSTA TEGUISE (LANZAROTE;LANZAROTE;LAS PALMAS;35509;Hotel
Telefónica;AJUNTAMENT DE VILASSAR DE MAR;PLAçA DEL AJUNTAMENT, 6  BAJO 1º;VILASSAR DE MAR;BARCELONA;08340;Club
Telefónica;NOSTRUM CERDANYOLA;POLíGON POLIZUR, AV CAN PALLARèS.BENZINERA CERDANY;CERDANYOLA DEL VALLES;BARCELONA;08290;Club
Telefónica;NOSTRUM TERRASSA 2;RAMBLA EGARA, 130 TERRASSA;TERRASSA;BARCELONA;08221;Club
Telefónica;TENIS EL FORN;C/ DESPOBLAT  S/N;SANT JOAN DESPI;BARCELONA;81032;Club
Telefónica;HOTEL REIAL PULA GOLF;CATERA. SON SERVERA KM. 3;SON SERVERA;ILLES BALEARS;07550;
Telefónica;APARTAMENTOS REVERON***;URBANIZACION OASIS DEL SUR, S/N;LOS CRISTIANOS (ARONA);TENERIFE;38650;
Telefónica;APARTAMENTOS OASIS MANGO***;URBANIZACION OASIS DEL SUR, S/N;LOS CRISTIANOS (ARONA);TENERIFE;38650;
Telefónica;HOTEL MARINA SUITES PUERTO RICO;MUELLE DEPORTIVO PORTONOVO S/N;PUERTO RICO (MOGAN);LAS PALMAS;35130;Hotel
Telefónica;APARTAMENTOS IPANEMA PARK**;BARRANCO AGUA DE LA PERRA S/N;PUERTO RICO (MOGAN);LAS PALMAS;35130;
Telefónica;RESTAURANTE MERENDERO DE LA MARI;C/ PAU VILA, 1 BAJOS;BARCELONA;BARCELONA;08003;Restaurant
Telefónica;HOTEL PLAZA SAN SEBASTIAN***;PLAZA SAN SEBASTIAN 4 BAJO;ANTEQUERA;MALAGA;29200;
Telefónica;HOTEL EMPORDA ***;CRTRA NACIONAL II, S/N BAJO;FIGUERAS;GIRONA;17600;
Telefónica;HOTELS CLASS XXI ***;C/ELADI HOMS S/N;VALLS;TARRAGONA;43800;
Telefónica;HOTEL GLORIA PALACE AMADORES ****;"AVENIDA DE LA CORNISA, S/N;";SAN AGUSTIN-PLAYA DEL ING;LAS PALMAS;35130;Hotel
Telefónica;BALNEARIO DE CESTONA;"SAN JUAN BIDEA 24;BAJO";ZESTOA;GUIPUZCOA;20740;
